date,month,block_value,scalar
2022-01-01 00:00:00,1,31.19,2.06
2022-01-01 01:00:00,1,24.58,1.32
2022-01-01 02:00:00,1,24.55,1.04
2022-01-01 03:00:00,1,25.11,0.89
2022-01-01 04:00:00,1,25.82,0.62
2022-01-01 05:00:00,1,28.17,0.48
2022-01-01 06:00:00,1,47.26,0.24
2022-01-01 07:00:00,1,56.68,0.2
2022-01-01 08:00:00,1,39.67,0.26
2022-01-01 09:00:00,1,30.69,0.04
2022-01-01 10:00:00,1,29.74,0.73
2022-01-01 11:00:00,1,27.45,0.83
2022-01-01 12:00:00,1,26.04,0.95
2022-01-01 13:00:00,1,23.9,1.09
2022-01-01 14:00:00,1,21.62,1.22
2022-01-01 15:00:00,1,21.43,1.14
2022-01-01 16:00:00,1,23.64,0.91
2022-01-01 17:00:00,1,40.99,0.53
2022-01-01 18:00:00,1,37.98,0.59
2022-01-01 19:00:00,1,34.0,0.66
2022-01-01 20:00:00,1,32.83,0.68
2022-01-01 21:00:00,1,30.21,0.73
2022-01-01 22:00:00,1,27.36,0.73
2022-01-01 23:00:00,1,26.13,0.67
2022-01-02 00:00:00,1,31.19,0.22
2022-01-02 01:00:00,1,24.58,0.33
2022-01-02 02:00:00,1,24.55,0.31
2022-01-02 03:00:00,1,25.11,0.46
2022-01-02 04:00:00,1,25.82,0.54
2022-01-02 05:00:00,1,28.17,0.78
2022-01-02 06:00:00,1,47.26,0.48
2022-01-02 07:00:00,1,56.68,0.41
2022-01-02 08:00:00,1,39.67,0.59
2022-01-02 09:00:00,1,30.69,0.75
2022-01-02 10:00:00,1,29.74,0.84
2022-01-02 11:00:00,1,27.45,0.98
2022-01-02 12:00:00,1,26.04,0.88
2022-01-02 13:00:00,1,23.9,0.93
2022-01-02 14:00:00,1,21.62,0.94
2022-01-02 15:00:00,1,21.43,0.92
2022-01-02 16:00:00,1,23.64,0.95
2022-01-02 17:00:00,1,40.99,0.86
2022-01-02 18:00:00,1,37.98,0.99
2022-01-02 19:00:00,1,34.0,1.12
2022-01-02 20:00:00,1,32.83,1.15
2022-01-02 21:00:00,1,30.21,1.23
2022-01-02 22:00:00,1,27.36,1.26
2022-01-02 23:00:00,1,26.13,1.33
2022-01-03 00:00:00,1,31.19,1.12
2022-01-03 01:00:00,1,24.58,1.42
2022-01-03 02:00:00,1,24.55,1.45
2022-01-03 03:00:00,1,25.11,1.45
2022-01-03 04:00:00,1,25.82,1.44
2022-01-03 05:00:00,1,28.17,1.33
2022-01-03 06:00:00,1,47.26,1.16
2022-01-03 07:00:00,1,56.68,0.91
2022-01-03 08:00:00,1,39.67,0.88
2022-01-03 09:00:00,1,30.69,0.86
2022-01-03 10:00:00,1,29.74,0.88
2022-01-03 11:00:00,1,27.45,0.86
2022-01-03 12:00:00,1,26.04,0.87
2022-01-03 13:00:00,1,23.9,0.88
