month,hour,block_value
1,00:00:00,31.19
1,01:00:00,24.58
1,02:00:00,24.55
1,03:00:00,25.11
1,04:00:00,25.82
1,05:00:00,28.17
1,06:00:00,47.26
1,07:00:00,56.68
1,08:00:00,39.67
1,09:00:00,30.69
1,10:00:00,29.74
1,11:00:00,27.45
1,12:00:00,26.04
1,13:00:00,23.9
1,14:00:00,21.62
1,15:00:00,21.43
1,16:00:00,23.64
1,17:00:00,40.99
1,18:00:00,37.98
1,19:00:00,34.0
1,20:00:00,32.83
1,21:00:00,30.21
1,22:00:00,27.36
1,23:00:00,26.13
2,00:00:00,28.14
2,01:00:00,22.29
2,02:00:00,25.34
2,03:00:00,24.21
2,04:00:00,30.63
2,05:00:00,33.35
2,06:00:00,92.11
2,07:00:00,120.23
2,08:00:00,137.39
2,09:00:00,145.81
2,10:00:00,66.11
2,11:00:00,29.3
2,12:00:00,26.81
2,13:00:00,24.06
2,14:00:00,22.07
2,15:00:00,21.35
2,16:00:00,21.39
2,17:00:00,30.37
2,18:00:00,45.09
2,19:00:00,37.62
2,20:00:00,35.07
2,21:00:00,40.71
2,22:00:00,30.2
2,23:00:00,63.58
3,00:00:00,34.35
3,01:00:00,24.02
3,02:00:00,22.09
3,03:00:00,21.32
3,04:00:00,22.28
3,05:00:00,24.45
3,06:00:00,47.89
3,07:00:00,42.25
3,08:00:00,28.6
3,09:00:00,27.13
3,10:00:00,24.72
3,11:00:00,25.23
3,12:00:00,27.56
3,13:00:00,27.74
3,14:00:00,27.44
3,15:00:00,25.96
3,16:00:00,25.78
3,17:00:00,27.97
3,18:00:00,54.53
3,19:00:00,78.16
3,20:00:00,51.44
3,21:00:00,34.65
3,22:00:00,36.06
3,23:00:00,29.86
4,00:00:00,38.05
4,01:00:00,31.91
4,02:00:00,30.3
4,03:00:00,28.7
4,04:00:00,30.0
4,05:00:00,34.05
4,06:00:00,49.69
4,07:00:00,43.32
4,08:00:00,39.92
4,09:00:00,35.58
4,10:00:00,36.93
4,11:00:00,34.69
4,12:00:00,70.2
4,13:00:00,53.18
4,14:00:00,58.25
4,15:00:00,55.9
4,16:00:00,53.12
4,17:00:00,50.66
4,18:00:00,47.74
4,19:00:00,97.14
4,20:00:00,104.02
4,21:00:00,60.74
4,22:00:00,47.49
4,23:00:00,42.15
5,00:00:00,56.42
5,01:00:00,45.85
5,02:00:00,38.94
5,03:00:00,34.7
5,04:00:00,34.47
5,05:00:00,39.79
5,06:00:00,47.85
5,07:00:00,51.12
5,08:00:00,49.56
5,09:00:00,48.78
5,10:00:00,46.78
5,11:00:00,55.16
5,12:00:00,58.49
5,13:00:00,69.09
5,14:00:00,141.15
5,15:00:00,164.52
5,16:00:00,235.7
5,17:00:00,150.45
5,18:00:00,75.73
5,19:00:00,81.29
5,20:00:00,104.03
5,21:00:00,75.93
5,22:00:00,63.48
5,23:00:00,56.64
6,00:00:00,55.67
6,01:00:00,52.18
6,02:00:00,46.54
6,03:00:00,44.64
6,04:00:00,45.14
6,05:00:00,46.96
6,06:00:00,47.19
6,07:00:00,46.97
6,08:00:00,46.48
6,09:00:00,46.49
6,10:00:00,51.66
6,11:00:00,59.23
6,12:00:00,69.9
6,13:00:00,78.47
6,14:00:00,87.38
6,15:00:00,84.36
6,16:00:00,87.38
6,17:00:00,83.02
6,18:00:00,82.42
6,19:00:00,83.7
6,20:00:00,87.99
6,21:00:00,73.38
6,22:00:00,66.63
6,23:00:00,59.05
7,00:00:00,55.68
7,01:00:00,51.32
7,02:00:00,48.51
7,03:00:00,45.88
7,04:00:00,44.9
7,05:00:00,47.15
7,06:00:00,48.34
7,07:00:00,49.08
7,08:00:00,47.43
7,09:00:00,47.36
7,10:00:00,59.29
7,11:00:00,76.83
7,12:00:00,120.46
7,13:00:00,176.13
7,14:00:00,291.32
7,15:00:00,456.88
7,16:00:00,501.77
7,17:00:00,461.81
7,18:00:00,337.5
7,19:00:00,193.59
7,20:00:00,151.32
