date,block_value
2022-01-00,966.74
2022-01-01,24.58
2022-01-02,24.55
2022-01-03,25.11
2022-01-04,25.82
2022-01-05,28.17
2022-01-06,47.26
2022-01-07,56.68
2022-01-08,39.67
2022-01-09,30.69
2022-01-10,29.74
2022-01-11,27.45
2022-01-12,26.04
2022-01-13,23.9
2022-01-14,21.62
2022-01-15,21.43
2022-01-16,23.64
2022-01-17,40.99
2022-01-18,37.98
2022-01-19,34.0
2022-01-20,32.83
2022-01-21,30.21
2022-01-22,27.36
2022-01-23,26.13
2022-02-00,788.01
2022-02-01,22.29
2022-02-02,25.34
2022-02-03,24.21
2022-02-04,30.63
2022-02-05,33.35
2022-02-06,92.11
2022-02-07,120.23
2022-02-08,137.39
2022-02-09,145.81
2022-02-10,66.11
2022-02-11,29.3
2022-02-12,26.81
2022-02-13,24.06
2022-02-14,22.07
2022-02-15,21.35
2022-02-16,21.39
2022-02-17,30.37
2022-02-18,45.09
2022-02-19,37.62
2022-02-20,35.07
2022-02-21,40.71
2022-02-22,30.2
2022-02-23,63.58
2022-03-00,1064.73
2022-03-01,24.02
2022-03-02,22.09
2022-03-03,21.32
2022-03-04,22.28
2022-03-05,24.45
2022-03-06,47.89
2022-03-07,42.25
2022-03-08,28.6
2022-03-09,27.13
2022-03-10,24.72
2022-03-11,25.23
2022-03-12,27.56
2022-03-13,27.74
2022-03-14,27.44
2022-03-15,25.96
2022-03-16,25.78
2022-03-17,27.97
2022-03-18,54.53
2022-03-19,78.16
2022-03-20,51.44
2022-03-21,34.65
2022-03-22,36.06
2022-03-23,29.86
2022-04-00,1141.38
2022-04-01,31.91
2022-04-02,30.3
2022-04-03,28.7
2022-04-04,30.0
2022-04-05,34.05
2022-04-06,49.69
2022-04-07,43.32
2022-04-08,39.92
2022-04-09,35.58
2022-04-10,36.93
2022-04-11,34.69
2022-04-12,70.2
2022-04-13,53.18
2022-04-14,58.25
2022-04-15,55.9
2022-04-16,53.12
2022-04-17,50.66
2022-04-18,47.74
2022-04-19,97.14
2022-04-20,104.02
2022-04-21,60.74
2022-04-22,47.49
2022-04-23,42.15
2022-05-00,1748.94
2022-05-01,45.85
2022-05-02,38.94
2022-05-03,34.7
2022-05-04,34.47
2022-05-05,39.79
2022-05-06,47.85
2022-05-07,51.12
2022-05-08,49.56
2022-05-09,48.78
2022-05-10,46.78
2022-05-11,55.16
2022-05-12,58.49
2022-05-13,69.09
2022-05-14,141.15
2022-05-15,164.52
2022-05-16,235.7
2022-05-17,150.45
2022-05-18,75.73
2022-05-19,81.29
2022-05-20,104.03
2022-05-21,75.93
2022-05-22,63.48
2022-05-23,56.64
2022-06-00,1669.95
2022-06-01,52.18
2022-06-02,46.54
2022-06-03,44.64
2022-06-04,45.14
2022-06-05,46.96
2022-06-06,47.19
2022-06-07,46.97
2022-06-08,46.48
2022-06-09,46.49
2022-06-10,51.66
2022-06-11,59.23
2022-06-12,69.9
2022-06-13,78.47
2022-06-14,87.38
2022-06-15,84.36
2022-06-16,87.38
2022-06-17,83.02
2022-06-18,82.42
2022-06-19,83.7
2022-06-20,87.99
2022-06-21,73.38
2022-06-22,66.63
2022-06-23,59.05
2022-07-00,1726.09
2022-07-01,51.32
2022-07-02,48.51
2022-07-03,45.88
2022-07-04,44.9
2022-07-05,47.15
2022-07-06,48.34
2022-07-07,49.08
2022-07-08,47.43
2022-07-09,47.36
2022-07-10,59.29
2022-07-11,76.83
2022-07-12,120.46
2022-07-13,176.13
2022-07-14,291.32
2022-07-15,456.88
2022-07-16,501.77
2022-07-17,461.81
2022-07-18,337.5
2022-07-19,193.59
2022-07-20,151.32
2022-07-21,76.49
2022-07-22,69.56
2022-07-23,60.75
2022-08-00,2121.01
2022-08-01,63.65
2022-08-02,59.34
2022-08-03,57.86
2022-08-04,58.6
2022-08-05,63.9
2022-08-06,69.97
2022-08-07,68.18
2022-08-08,68.5
2022-08-09,66.67
2022-08-10,75.8
2022-08-11,86.71
2022-08-12,97.29
2022-08-13,124.48
2022-08-14,140.61
2022-08-15,134.36
2022-08-16,132.63
2022-08-17,113.42
2022-08-18,99.26
2022-08-19,136.9
2022-08-20,137.74
2022-08-21,82.95
2022-08-22,77.19
2022-08-23,72.01
2022-09-00,1587.11
2022-09-01,49.05
2022-09-02,46.45
2022-09-03,44.77
2022-09-04,46.5
2022-09-05,50.65
2022-09-06,54.95
2022-09-07,55.09
2022-09-08,51.82
2022-09-09,49.39
2022-09-10,52.44
2022-09-11,58.17
2022-09-12,64.27
2022-09-13,75.08
2022-09-14,77.61
2022-09-15,82.47
2022-09-16,81.23
2022-09-17,79.64
2022-09-18,98.67
2022-09-19,111.94
2022-09-20,73.02
2022-09-21,63.94
2022-09-22,59.93
2022-09-23,54.07
2022-10-00,1198.82
2022-10-01,33.61
2022-10-02,32.1
2022-10-03,32.44
2022-10-04,33.18
2022-10-05,37.97
